Номер закупки,Дата размещения,Дата обновления,Окончание подачи заявок,Начальная цена контракта
0891200000626005827,26.05.2026,08.06.2026,04.06.2026,"86 329,11 ₽"
0322200009326000109,28.05.2026,08.06.2026,04.06.2026,"433 451,90 ₽"
0361200014126000036,01.06.2026,08.06.2026,08.06.2026,"6 606,50 ₽"
0188100001026000023,28.05.2026,08.06.2026,04.06.2026,"79 648,00 ₽"
0891200000626005828,26.05.2026,08.06.2026,04.06.2026,"44 203,00 ₽"
0188100001126000015,28.05.2026,08.06.2026,05.06.2026,"26 500,00 ₽"
0391100022726000031,25.05.2026,08.06.2026,05.06.2026,"35 060,00 ₽"
0816500000626009118,25.05.2026,08.06.2026,04.06.2026,"167 400,00 ₽"
0816500000626009167,26.05.2026,08.06.2026,04.06.2026,"24 530,00 ₽"
0816500000626009207,26.05.2026,08.06.2026,04.06.2026,"29 796,70 ₽"
0391100022726000030,25.05.2026,08.06.2026,05.06.2026,"6 990,00 ₽"
0122200002526002046,03.06.2026,08.06.2026,10.06.2026,"3 000 000,00 ₽"
0319100031126000006,28.05.2026,08.06.2026,04.06.2026,"322 855,93 ₽"
0319100031126000007,29.05.2026,08.06.2026,04.06.2026,"563 750,00 ₽"
0347100000526000021,28.05.2026,08.06.2026,05.06.2026,"154 700,00 ₽"
0338300047926000187,28.05.2026,08.06.2026,08.06.2026,"244 296,00 ₽"
0322200009326000108,28.05.2026,08.06.2026,04.06.2026,"350 418,78 ₽"
0816400000226000008,29.05.2026,08.06.2026,08.06.2026,"100 000,00 ₽"
0322200009326000107,28.05.2026,08.06.2026,04.06.2026,"436 807,28 ₽"
0361100004926000003,27.05.2026,08.06.2026,04.06.2026,"353 594,00 ₽"
